[18:45:56] [info] ENGINE: Successfully initialized Win32 window!
[18:45:56] [info] ENGINE: Successfully initialized DirectX!
[18:45:56] [info] GAME: Editor Layer Attached
[18:45:59] [info] ENGINE: PROFILER: 175000.000000FPS: 0.470603
[18:45:59] [info] ENGINE: PROFILER: 144400.000000FPS: 667.913452
[18:45:59] [info] ENGINE: PROFILER: 170900.000000FPS: 1066.894287
[18:45:59] [info] ENGINE: PROFILER: 136000.000000FPS: 260.525238
[18:46:00] [info] ENGINE: PROFILER: 135000.000000FPS: 239.120026
[18:46:00] [info] ENGINE: PROFILER: 135300.000000FPS: 240.697052
[18:46:00] [info] ENGINE: PROFILER: 137000.000000FPS: 238.657791
[18:46:00] [info] ENGINE: PROFILER: 137700.000000FPS: 238.044235
[18:46:00] [info] ENGINE: PROFILER: 142800.000000FPS: 239.154358
[18:46:00] [info] ENGINE: PROFILER: 182000.000000FPS: 241.324387
[18:46:00] [info] ENGINE: PROFILER: 145200.000000FPS: 238.157608
[18:46:00] [info] ENGINE: PROFILER: 138300.000000FPS: 242.341980
[18:46:00] [info] ENGINE: PROFILER: 135000.000000FPS: 240.465561
[18:46:00] [info] ENGINE: PROFILER: 136000.000000FPS: 240.263321
[18:46:00] [info] ENGINE: PROFILER: 135300.000000FPS: 239.969284
[18:46:00] [info] ENGINE: PROFILER: 183900.000000FPS: 225.769318
[18:46:00] [info] ENGINE: PROFILER: 215600.000000FPS: 245.802902
[18:46:00] [info] ENGINE: PROFILER: 206700.000000FPS: 119.247780
[18:46:00] [info] ENGINE: PROFILER: 174400.000000FPS: 120.797745
[18:46:00] [info] ENGINE: PROFILER: 295000.000000FPS: 120.245781
[18:46:00] [info] ENGINE: PROFILER: 153600.000000FPS: 79.773438
[18:46:00] [info] ENGINE: PROFILER: 154200.000000FPS: 240.963852
[18:46:00] [info] ENGINE: PROFILER: 149600.000000FPS: 238.174622
[18:46:00] [info] ENGINE: PROFILER: 142400.000000FPS: 238.623611
[18:46:00] [info] ENGINE: PROFILER: 141200.000000FPS: 249.575729
[18:46:00] [info] ENGINE: PROFILER: 136700.000000FPS: 239.854156
[18:46:00] [info] ENGINE: PROFILER: 136500.000000FPS: 234.115265
[18:46:00] [info] ENGINE: PROFILER: 141200.000000FPS: 236.921906
[18:46:00] [info] ENGINE: PROFILER: 138600.000000FPS: 241.452591
[18:46:00] [info] ENGINE: PROFILER: 145300.000000FPS: 234.620621
[18:46:00] [info] ENGINE: PROFILER: 165900.000000FPS: 240.251785
[18:46:00] [info] ENGINE: PROFILER: 200600.000000FPS: 237.017380
[18:46:00] [info] ENGINE: PROFILER: 148500.000000FPS: 243.249832
[18:46:00] [info] ENGINE: PROFILER: 145200.000000FPS: 239.366165
[18:46:00] [info] ENGINE: PROFILER: 144600.000000FPS: 228.154221
[18:46:00] [info] ENGINE: PROFILER: 145400.000000FPS: 264.033386
[18:46:00] [info] ENGINE: PROFILER: 140900.000000FPS: 231.604797
[18:46:00] [info] ENGINE: PROFILER: 136300.000000FPS: 241.797043
[18:46:00] [info] ENGINE: PROFILER: 136900.000000FPS: 240.610184
[18:46:00] [info] ENGINE: PROFILER: 142000.000000FPS: 235.023148
[18:46:00] [info] ENGINE: PROFILER: 136500.000000FPS: 242.371353
[18:46:00] [info] ENGINE: PROFILER: 140200.000000FPS: 240.905792
[18:46:00] [info] ENGINE: PROFILER: 141900.000000FPS: 240.142181
[18:46:00] [info] ENGINE: PROFILER: 136400.000000FPS: 240.222931
[18:46:00] [info] ENGINE: PROFILER: 135500.000000FPS: 240.015350
[18:46:00] [info] ENGINE: PROFILER: 137700.000000FPS: 237.812119
[18:46:00] [info] ENGINE: PROFILER: 136600.000000FPS: 241.902313
[18:46:00] [info] ENGINE: PROFILER: 141200.000000FPS: 239.601303
[18:46:00] [info] ENGINE: PROFILER: 136600.000000FPS: 239.589828
[18:46:00] [info] ENGINE: PROFILER: 140500.000000FPS: 239.171509
[18:46:00] [info] ENGINE: PROFILER: 139300.000000FPS: 237.084808
[18:46:00] [info] ENGINE: PROFILER: 136500.000000FPS: 240.726028
[18:46:00] [info] ENGINE: PROFILER: 135200.000000FPS: 243.273499
[18:46:00] [info] ENGINE: PROFILER: 139700.000000FPS: 239.520966
[18:46:00] [info] ENGINE: PROFILER: 139100.000000FPS: 238.123581
[18:46:00] [info] ENGINE: PROFILER: 182300.000000FPS: 238.435867
[18:46:00] [info] ENGINE: PROFILER: 180100.000000FPS: 241.190521
[18:46:00] [info] ENGINE: PROFILER: 177500.000000FPS: 2.987866
[18:46:00] [info] ENGINE: PROFILER: 171500.000000FPS: 1048.108154
[18:46:00] [info] ENGINE: PROFILER: 170600.000000FPS: 1117.693115
[18:46:00] [info] ENGINE: PROFILER: 133700.000000FPS: 861.697571
[18:46:00] [info] ENGINE: PROFILER: 135500.000000FPS: 239.957779
[18:46:00] [info] ENGINE: PROFILER: 140600.000000FPS: 239.607040
[18:46:00] [info] ENGINE: PROFILER: 148200.000000FPS: 233.743149
[18:46:00] [info] ENGINE: PROFILER: 142700.000000FPS: 244.218140
[18:46:00] [info] ENGINE: PROFILER: 138700.000000FPS: 241.645111
[18:46:00] [info] ENGINE: PROFILER: 147200.000000FPS: 214.119003
[18:46:00] [info] ENGINE: PROFILER: 138400.000000FPS: 127.403137
[18:46:00] [info] ENGINE: PROFILER: 140400.000000FPS: 120.014885
[18:46:00] [info] ENGINE: PROFILER: 134800.000000FPS: 79.173431
[18:46:00] [info] ENGINE: PROFILER: 133300.000000FPS: 245.308472
[18:46:00] [info] ENGINE: PROFILER: 134800.000000FPS: 235.111572
[18:46:00] [info] ENGINE: PROFILER: 135100.000000FPS: 239.652985
[18:46:00] [info] ENGINE: PROFILER: 150600.000000FPS: 239.664459
[18:46:00] [info] ENGINE: PROFILER: 143100.000000FPS: 239.819672
[18:46:00] [info] ENGINE: PROFILER: 138600.000000FPS: 238.072571
[18:46:00] [info] ENGINE: PROFILER: 316600.000000FPS: 241.446747
[18:46:00] [info] ENGINE: PROFILER: 286800.000000FPS: 238.800262
[18:46:00] [info] ENGINE: PROFILER: 144600.000000FPS: 240.136398
[18:46:00] [info] ENGINE: PROFILER: 137400.000000FPS: 238.220016
[18:46:00] [info] ENGINE: PROFILER: 136600.000000FPS: 241.190521
[18:46:00] [info] ENGINE: PROFILER: 141400.000000FPS: 238.925797
[18:46:00] [info] ENGINE: PROFILER: 136000.000000FPS: 238.868698
[18:46:00] [info] ENGINE: PROFILER: 135900.000000FPS: 242.001831
[18:46:00] [info] ENGINE: PROFILER: 139400.000000FPS: 239.647232
[18:46:00] [info] ENGINE: PROFILER: 141900.000000FPS: 237.445099
[18:46:00] [info] ENGINE: PROFILER: 135800.000000FPS: 241.295288
[18:46:00] [info] ENGINE: PROFILER: 135500.000000FPS: 240.783997
[18:46:00] [info] ENGINE: PROFILER: 144600.000000FPS: 238.885849
[18:46:00] [info] ENGINE: PROFILER: 136200.000000FPS: 238.367676
[18:46:00] [info] ENGINE: PROFILER: 135500.000000FPS: 242.477158
[18:46:00] [info] ENGINE: PROFILER: 139000.000000FPS: 239.434952
[18:46:00] [info] ENGINE: PROFILER: 136100.000000FPS: 239.498016
[18:46:00] [info] ENGINE: PROFILER: 137700.000000FPS: 240.529175
[18:46:00] [info] ENGINE: PROFILER: 133800.000000FPS: 238.902954
[18:46:00] [info] ENGINE: PROFILER: 134600.000000FPS: 238.948624
[18:46:00] [info] ENGINE: PROFILER: 150200.000000FPS: 233.323227
[18:46:00] [info] ENGINE: PROFILER: 146000.000000FPS: 244.289734
[18:46:00] [info] ENGINE: PROFILER: 145700.000000FPS: 239.721924
[18:46:00] [info] ENGINE: PROFILER: 175200.000000FPS: 240.940643
[18:46:00] [info] ENGINE: PROFILER: 138500.000000FPS: 241.219604
[18:46:00] [info] ENGINE: PROFILER: 136400.000000FPS: 239.532425
[18:46:00] [info] ENGINE: PROFILER: 136100.000000FPS: 241.674316
[18:46:00] [info] ENGINE: PROFILER: 173900.000000FPS: 238.623611
[18:46:00] [info] ENGINE: PROFILER: 135600.000000FPS: 240.662308
[18:46:00] [info] ENGINE: PROFILER: 139100.000000FPS: 239.854156
[18:46:00] [info] ENGINE: PROFILER: 137600.000000FPS: 239.429199
[18:46:00] [info] ENGINE: PROFILER: 138300.000000FPS: 238.521179
[18:46:00] [info] ENGINE: PROFILER: 236200.000000FPS: 240.096054
[18:46:00] [info] ENGINE: PROFILER: 173100.000000FPS: 238.760345
[18:46:00] [info] ENGINE: PROFILER: 135000.000000FPS: 241.960861
[18:46:00] [info] ENGINE: PROFILER: 257300.000000FPS: 238.435867
[18:46:00] [info] ENGINE: PROFILER: 139800.000000FPS: 240.390396
[18:46:00] [info] ENGINE: PROFILER: 134900.000000FPS: 240.124863
[18:46:00] [info] ENGINE: PROFILER: 137500.000000FPS: 239.584076
[18:46:00] [info] ENGINE: PROFILER: 167000.000000FPS: 239.498016
[18:46:00] [info] ENGINE: PROFILER: 133500.000000FPS: 239.986557
[18:46:00] [info] ENGINE: PROFILER: 133900.000000FPS: 239.992310
[18:46:00] [info] ENGINE: PROFILER: 143400.000000FPS: 238.208679
[18:46:00] [info] ENGINE: PROFILER: 137100.000000FPS: 239.131485
[18:46:00] [info] ENGINE: PROFILER: 170900.000000FPS: 242.113159
[18:46:00] [info] ENGINE: PROFILER: 136600.000000FPS: 237.806488
[18:46:00] [info] ENGINE: PROFILER: 137600.000000FPS: 241.499237
[18:46:00] [info] ENGINE: PROFILER: 136900.000000FPS: 237.823441
[18:46:00] [info] ENGINE: PROFILER: 135100.000000FPS: 241.949127
[18:46:00] [info] ENGINE: PROFILER: 135700.000000FPS: 238.458618
[18:46:00] [info] ENGINE: PROFILER: 147600.000000FPS: 240.170990
[18:46:00] [info] ENGINE: PROFILER: 137100.000000FPS: 240.269104
[18:46:00] [info] ENGINE: PROFILER: 135300.000000FPS: 239.274536
[18:46:00] [info] ENGINE: PROFILER: 134800.000000FPS: 240.673874
[18:46:00] [info] ENGINE: PROFILER: 136200.000000FPS: 238.669174
[18:46:00] [info] ENGINE: PROFILER: 135700.000000FPS: 238.891525
[18:46:00] [info] ENGINE: PROFILER: 135500.000000FPS: 241.231232
[18:46:00] [info] ENGINE: PROFILER: 178900.000000FPS: 239.601303
[18:46:00] [info] ENGINE: PROFILER: 139200.000000FPS: 239.085739
[18:46:00] [info] ENGINE: PROFILER: 135300.000000FPS: 240.124863
[18:46:00] [info] ENGINE: PROFILER: 169100.000000FPS: 240.610184
[18:46:00] [info] ENGINE: PROFILER: 137100.000000FPS: 237.405624
[18:46:00] [info] ENGINE: PROFILER: 137500.000000FPS: 240.436646
[18:46:00] [info] ENGINE: PROFILER: 139000.000000FPS: 240.269104
[18:46:00] [info] ENGINE: PROFILER: 149400.000000FPS: 241.272003
[18:46:00] [info] ENGINE: PROFILER: 139900.000000FPS: 240.142181
[18:46:00] [info] ENGINE: PROFILER: 134300.000000FPS: 239.475082
[18:46:00] [info] ENGINE: PROFILER: 144500.000000FPS: 238.948624
[18:46:00] [info] ENGINE: PROFILER: 138700.000000FPS: 236.557602
[18:46:00] [info] ENGINE: PROFILER: 148600.000000FPS: 224.618149
[18:46:00] [info] ENGINE: PROFILER: 143500.000000FPS: 258.297821
[18:46:00] [info] ENGINE: PROFILER: 149400.000000FPS: 239.589828
[18:46:00] [info] ENGINE: PROFILER: 149300.000000FPS: 239.584076
[18:46:00] [info] ENGINE: PROFILER: 136200.000000FPS: 241.697678
[18:46:00] [info] ENGINE: PROFILER: 136400.000000FPS: 240.373077
[18:46:00] [info] ENGINE: PROFILER: 136200.000000FPS: 240.280655
[18:46:00] [info] ENGINE: PROFILER: 135500.000000FPS: 239.538177
[18:46:00] [info] ENGINE: PROFILER: 145600.000000FPS: 240.691269
[18:46:00] [info] ENGINE: PROFILER: 135500.000000FPS: 239.687439
[18:46:00] [info] ENGINE: PROFILER: 136000.000000FPS: 236.905075
[18:46:00] [info] ENGINE: PROFILER: 184100.000000FPS: 241.376816
[18:46:00] [info] ENGINE: PROFILER: 135000.000000FPS: 240.003845
[18:46:01] [info] ENGINE: PROFILER: 133100.000000FPS: 240.934830
[18:46:01] [info] ENGINE: PROFILER: 140900.000000FPS: 238.344940
[18:46:01] [info] ENGINE: PROFILER: 167600.000000FPS: 240.708649
[18:46:01] [info] ENGINE: PROFILER: 142900.000000FPS: 239.005722
[18:46:01] [info] ENGINE: PROFILER: 135400.000000FPS: 240.413513
[18:46:01] [info] ENGINE: PROFILER: 136300.000000FPS: 239.165787
[18:46:01] [info] ENGINE: PROFILER: 140200.000000FPS: 239.383347
[18:46:01] [info] ENGINE: PROFILER: 136800.000000FPS: 240.044174
[18:46:01] [info] ENGINE: PROFILER: 170000.000000FPS: 240.650711
[18:46:01] [info] ENGINE: PROFILER: 133600.000000FPS: 238.333572
[18:46:01] [info] ENGINE: PROFILER: 133500.000000FPS: 240.778198
[18:46:01] [info] ENGINE: PROFILER: 135100.000000FPS: 237.981918
[18:46:01] [info] ENGINE: PROFILER: 136400.000000FPS: 241.464233
[18:46:01] [info] ENGINE: PROFILER: 142100.000000FPS: 238.413132
[18:46:01] [info] ENGINE: PROFILER: 235100.000000FPS: 241.791183
[18:46:01] [info] ENGINE: PROFILER: 136200.000000FPS: 238.931503
[18:46:01] [info] ENGINE: PROFILER: 138800.000000FPS: 240.297974
[18:46:01] [info] ENGINE: PROFILER: 135400.000000FPS: 239.314606
[18:46:01] [info] ENGINE: PROFILER: 135100.000000FPS: 240.165237
[18:46:01] [info] ENGINE: PROFILER: 145700.000000FPS: 239.314606
[18:46:01] [info] ENGINE: PROFILER: 137200.000000FPS: 240.165237
[18:46:01] [info] ENGINE: PROFILER: 142200.000000FPS: 239.011444
[18:46:01] [info] ENGINE: PROFILER: 135700.000000FPS: 240.228699
[18:46:01] [info] ENGINE: PROFILER: 136700.000000FPS: 237.936615
[18:46:01] [info] ENGINE: PROFILER: 136400.000000FPS: 239.894440
[18:46:01] [info] ENGINE: PROFILER: 134600.000000FPS: 241.475906
[18:46:01] [info] ENGINE: PROFILER: 135100.000000FPS: 239.923218
[18:46:01] [info] ENGINE: PROFILER: 135700.000000FPS: 239.343246
[18:46:01] [info] ENGINE: PROFILER: 142600.000000FPS: 240.188324
[18:46:01] [info] ENGINE: PROFILER: 143600.000000FPS: 238.589462
[18:46:01] [info] ENGINE: PROFILER: 136000.000000FPS: 240.836166
[18:46:01] [info] ENGINE: PROFILER: 136300.000000FPS: 238.004578
[18:46:01] [info] ENGINE: PROFILER: 136000.000000FPS: 239.572617
[18:46:01] [info] ENGINE: PROFILER: 140000.000000FPS: 241.545898
[18:46:01] [info] ENGINE: PROFILER: 137700.000000FPS: 239.750671
[18:46:01] [info] ENGINE: PROFILER: 178100.000000FPS: 236.066208
[18:46:01] [info] ENGINE: PROFILER: 147800.000000FPS: 238.686279
[18:46:01] [info] ENGINE: PROFILER: 140600.000000FPS: 239.998077
[18:46:01] [info] ENGINE: PROFILER: 326900.000000FPS: 241.697678
[18:46:01] [info] ENGINE: PROFILER: 154300.000000FPS: 240.269104
[18:46:01] [info] ENGINE: PROFILER: 138600.000000FPS: 240.442429
[18:46:01] [info] ENGINE: PROFILER: 136000.000000FPS: 240.199844
[18:46:01] [info] ENGINE: PROFILER: 136300.000000FPS: 240.824585
[18:46:01] [info] ENGINE: PROFILER: 141500.000000FPS: 239.767899
[18:46:01] [info] ENGINE: PROFILER: 135800.000000FPS: 240.182541
[18:46:01] [info] ENGINE: PROFILER: 139100.000000FPS: 239.647232
[18:46:01] [info] ENGINE: PROFILER: 156600.000000FPS: 238.447235
[18:46:01] [info] ENGINE: PROFILER: 139700.000000FPS: 239.360428
[18:46:01] [info] ENGINE: PROFILER: 135900.000000FPS: 241.668472
[18:46:01] [info] ENGINE: PROFILER: 165500.000000FPS: 237.620010
[18:46:01] [info] ENGINE: PROFILER: 141200.000000FPS: 239.125748
[18:46:01] [info] ENGINE: PROFILER: 141400.000000FPS: 240.726028
[18:46:01] [info] ENGINE: PROFILER: 135400.000000FPS: 241.843826
[18:46:01] [info] ENGINE: PROFILER: 140200.000000FPS: 237.648239
[18:46:01] [info] ENGINE: PROFILER: 135300.000000FPS: 241.545898
[18:46:01] [info] ENGINE: PROFILER: 215600.000000FPS: 239.963516
[18:46:01] [info] ENGINE: PROFILER: 139700.000000FPS: 240.442429
[18:46:01] [info] ENGINE: PROFILER: 145900.000000FPS: 235.288589
[18:46:01] [info] ENGINE: PROFILER: 149500.000000FPS: 240.644943
[18:46:01] [info] ENGINE: PROFILER: 142600.000000FPS: 240.488663
[18:46:01] [info] ENGINE: PROFILER: 157700.000000FPS: 237.338013
[18:46:01] [info] ENGINE: PROFILER: 145800.000000FPS: 241.365143
[18:46:01] [info] ENGINE: PROFILER: 146600.000000FPS: 241.225433
[18:46:01] [info] ENGINE: PROFILER: 136700.000000FPS: 240.067215
[18:46:01] [info] ENGINE: PROFILER: 136100.000000FPS: 241.499237
[18:46:01] [info] ENGINE: PROFILER: 138900.000000FPS: 237.433807
[18:46:01] [info] ENGINE: PROFILER: 144600.000000FPS: 240.900009
[18:46:01] [info] ENGINE: PROFILER: 147600.000000FPS: 239.905960
[18:46:01] [info] ENGINE: PROFILER: 140500.000000FPS: 241.085861
[18:46:01] [info] ENGINE: PROFILER: 136800.000000FPS: 237.710373
[18:46:01] [info] ENGINE: PROFILER: 137100.000000FPS: 241.266174
[18:46:01] [info] ENGINE: PROFILER: 137100.000000FPS: 239.291702
[18:46:01] [info] ENGINE: PROFILER: 137500.000000FPS: 240.610184
[18:46:01] [info] ENGINE: PROFILER: 141000.000000FPS: 238.390396
[18:46:01] [info] ENGINE: PROFILER: 137100.000000FPS: 240.847794
[18:46:01] [info] ENGINE: PROFILER: 140800.000000FPS: 240.101791
[18:46:01] [info] ENGINE: PROFILER: 138900.000000FPS: 237.863037
[18:46:01] [info] ENGINE: PROFILER: 142900.000000FPS: 240.228699
[18:46:01] [info] ENGINE: PROFILER: 138500.000000FPS: 241.219604
[18:46:01] [info] ENGINE: PROFILER: 138000.000000FPS: 238.783157
[18:46:01] [info] ENGINE: PROFILER: 141000.000000FPS: 241.202164
[18:46:01] [info] ENGINE: PROFILER: 144900.000000FPS: 237.783875
[18:46:01] [info] ENGINE: PROFILER: 137200.000000FPS: 240.772400
[18:46:01] [info] ENGINE: PROFILER: 135900.000000FPS: 238.140610
[18:46:01] [info] ENGINE: PROFILER: 137700.000000FPS: 242.647766
[18:46:01] [info] ENGINE: PROFILER: 137400.000000FPS: 237.625656
[18:46:01] [info] ENGINE: PROFILER: 156700.000000FPS: 239.877182
[18:46:01] [info] ENGINE: PROFILER: 145200.000000FPS: 236.105209
[18:46:01] [info] ENGINE: PROFILER: 147700.000000FPS: 242.037003
[18:46:01] [info] ENGINE: PROFILER: 161900.000000FPS: 237.981918
[18:46:01] [info] ENGINE: PROFILER: 144100.000000FPS: 242.060425
[18:46:01] [info] ENGINE: PROFILER: 137000.000000FPS: 240.465561
[18:46:01] [info] ENGINE: PROFILER: 135800.000000FPS: 240.865189
[18:46:01] [info] ENGINE: PROFILER: 135300.000000FPS: 240.534943
[18:46:01] [info] ENGINE: PROFILER: 135200.000000FPS: 238.680588
[18:46:01] [info] ENGINE: PROFILER: 138900.000000FPS: 240.789780
[18:46:01] [info] ENGINE: PROFILER: 139400.000000FPS: 240.332611
[18:46:01] [info] ENGINE: PROFILER: 143300.000000FPS: 237.902649
[18:46:01] [info] ENGINE: PROFILER: 142100.000000FPS: 6.727085
[18:46:01] [info] ENGINE: PROFILER: 136000.000000FPS: 1236.552490
[18:46:01] [info] ENGINE: PROFILER: 139300.000000FPS: 1263.743286
[18:46:01] [info] ENGINE: PROFILER: 135500.000000FPS: 1222.792847
[18:46:01] [info] ENGINE: PROFILER: 136600.000000FPS: 136.920654
[18:46:01] [info] ENGINE: PROFILER: 142500.000000FPS: 119.925652
[18:46:01] [info] ENGINE: PROFILER: 146200.000000FPS: 78.756287
[18:46:01] [info] ENGINE: PROFILER: 151100.000000FPS: 227.800812
[18:46:01] [info] ENGINE: PROFILER: 150200.000000FPS: 253.601120
[18:46:01] [info] ENGINE: PROFILER: 137300.000000FPS: 241.050980
[18:46:01] [info] ENGINE: PROFILER: 141000.000000FPS: 242.078003
[18:46:01] [info] ENGINE: PROFILER: 135800.000000FPS: 240.032639
[18:46:01] [info] ENGINE: PROFILER: 136100.000000FPS: 235.999344
[18:46:01] [info] ENGINE: PROFILER: 136800.000000FPS: 243.167007
[18:46:01] [info] ENGINE: PROFILER: 141600.000000FPS: 239.320343
[18:46:01] [info] ENGINE: PROFILER: 195700.000000FPS: 238.293823
[18:46:01] [info] ENGINE: PROFILER: 143800.000000FPS: 239.057159
[18:46:01] [info] ENGINE: PROFILER: 145500.000000FPS: 238.134933
[18:46:01] [info] ENGINE: PROFILER: 136500.000000FPS: 242.736130
[18:46:01] [info] ENGINE: PROFILER: 169800.000000FPS: 240.992905
[18:46:01] [info] ENGINE: PROFILER: 136000.000000FPS: 239.963516
[18:46:01] [info] ENGINE: PROFILER: 135800.000000FPS: 238.248398
[18:46:01] [info] ENGINE: PROFILER: 140300.000000FPS: 241.878906
[18:46:01] [info] ENGINE: PROFILER: 136700.000000FPS: 239.589828
[18:46:01] [info] ENGINE: PROFILER: 163200.000000FPS: 239.624268
[18:46:01] [info] ENGINE: PROFILER: 138900.000000FPS: 239.652985
[18:46:01] [info] ENGINE: PROFILER: 139500.000000FPS: 240.563873
[18:46:01] [info] ENGINE: PROFILER: 135300.000000FPS: 239.825394
[18:46:01] [info] ENGINE: PROFILER: 135700.000000FPS: 239.303146
[18:46:01] [info] ENGINE: PROFILER: 139000.000000FPS: 240.726028
[18:46:01] [info] ENGINE: PROFILER: 138600.000000FPS: 239.905960
[18:46:01] [info] ENGINE: PROFILER: 135800.000000FPS: 239.308868
[18:46:01] [info] ENGINE: PROFILER: 135900.000000FPS: 239.034302
[18:46:01] [info] ENGINE: PROFILER: 143400.000000FPS: 240.061447
[18:46:01] [info] ENGINE: PROFILER: 134800.000000FPS: 240.044174
[18:46:01] [info] ENGINE: PROFILER: 135900.000000FPS: 239.337524
[18:46:01] [info] ENGINE: PROFILER: 137200.000000FPS: 239.675964
[18:46:01] [info] ENGINE: PROFILER: 144400.000000FPS: 237.665176
[18:46:01] [info] ENGINE: PROFILER: 159700.000000FPS: 241.301086
[18:46:01] [info] ENGINE: PROFILER: 135300.000000FPS: 240.644943
[18:46:01] [info] ENGINE: PROFILER: 135500.000000FPS: 239.900192
[18:46:01] [info] ENGINE: PROFILER: 169400.000000FPS: 238.646393
[18:46:01] [info] ENGINE: PROFILER: 136400.000000FPS: 241.004501
[18:46:01] [info] ENGINE: PROFILER: 146800.000000FPS: 237.670837
[18:46:01] [info] ENGINE: PROFILER: 147200.000000FPS: 239.285965
